timestep,real_time,h,goal_error,dist,cost_history,conflict,q_0,q_1,q_2,q_3,q_4,q_5,q_6,u_mppi_0,u_mppi_1,u_mppi_2,u_mppi_3,u_mppi_4,u_mppi_5,u_mppi_6,u_safe_0,u_safe_1,u_safe_2,u_safe_3,u_safe_4,u_safe_5,u_safe_6
0,1.1583847060010157,0.1439422915172376,0.555974334051774,0.24394229151723762,0.00015355668795144126,0,0.00019235652722021827,-0.7850087830718105,0.00025866875414565005,-2.355974334051774,0.0009893935247220927,1.571878740237597,0.7845189318475112,0.007420475653201776,-0.7761597183980327,0.0035205197338201676,-2.345604229842057,0.0018906430035974485,1.5713698712879411,0.7796361588049227,0.007420475645785762,-0.7761597184076534,0.003520519728640779,-2.345604229830288,0.0018906429973033249,1.5713698712826083,0.7796361588046066
1,2.2512630150013138,0.14378898178432362,0.5558276284515846,0.24378898178432362,0.003467136348879829,0,0.000545412939426086,-0.7846770958284466,0.00047083363417320953,-2.3558276284515847,0.0009883042177047145,1.5718754427467543,0.784425267143127,0.016947896196837894,-0.7615719382952925,0.008489309337821853,-2.3306068445025936,0.006429671508238109,1.5711494584711454,0.7721458685853313,0.01694801861359427,-0.7615717551310357,0.008489390756216398,-2.3306071441024896,0.006429771777560829,1.5711495425276838,0.7721458766018808
2,3.2418392680010584,0.14224703460779894,0.546011912804264,0.24224703460779895,0.003228867345743866,0,0.007832419112517853,-0.775819679126172,0.0037578181808978262,-2.346011912804264,0.00202792636357727,1.5718773606965686,0.7793578217510273,0.04851109168771875,-0.7286726066907234,0.023707831437576165,-2.2892288653342847,0.013040959323016209,1.5745934426474648,0.7506261107120474,0.04850012255919979,-0.7286882858784952,0.0237004878007494,-2.28920746525323,0.013031742052369405,1.5745856614878921,0.7506256775930352
3,4.16305795000153,0.13973969383132664,0.5308776944622757,0.23973969383132665,0.0028039247150678905,0,0.017380308974377354,-0.7613622292226482,0.008735210482997947,-2.3308776944622758,0.006224857081332628,1.571882122676052,0.7719179847748895,0.09094870180554146,-0.6742526382679307,0.04544669672273493,-2.230508088626155,0.023157978857822784,1.577706532802307,0.7215875044567479,0.08933103844910245,-0.6766917028670443,0.04437048198461051,-2.227125724045992,0.021778792656747276,1.5765308664967324,0.7215252180391087
4,4.997468417001073,0.13550268795914597,0.4895883590484311,0.23550268795914597,0.0024048560702712623,0,0.048879851508134106,-0.7284020825397473,0.023861277847993946,-2.289588359048431,0.01257561033701535,1.5743334786311651,0.7503317058255495,0.14356241987164828,-0.6112329109833217,0.0717707021464043,-2.1570765315201084,0.03574275573198964,1.5812851848536738,0.6838211256406332,0.14356245550857258,-0.6112328461884634,0.07177073017990401,-2.157076653975747,0.03574278930093257,1.5812852157248298,0.6838211293538027
5,5.723125124000944,0.13075827799066228,0.427388408169888,0.23075827799066229,0.0020957852880739013,0,0.08972582195593905,-0.6763606105224114,0.04467982865576357,-2.227388408169888,0.02146081516383842,1.5763390782879285,0.7211702686639391,0.19963992757824914,-0.542141041854864,0.09961951553725847,-2.078345406005862,0.04983883201260564,1.5847250280284253,0.6430164574189493,0.19963992757788593,-0.5421410418559958,0.09961951553701785,-2.078345406002413,0.04983883201220649,1.584725028028081,0.6430164574189412
6,6.308615584001018,0.12478296697257682,0.3572298586559597,0.22478296697257683,0.00176231981376796,0,0.14414265750161137,-0.6106903306800676,0.07170224013913493,-2.1572298586559597,0.034639582877308756,1.5805414797319863,0.6831390066700793,0.2566736060022484,-0.4737049781336737,0.12849172792256167,-2.000401678331481,0.06418568690993062,1.5894531079218837,0.6016345651446745,0.25667366794915425,-0.4737043928461267,0.12849178621832383,-2.0004034351457114,0.06418583730458921,1.589453248363731,0.6016345615014098
7,6.799068141001044,0.12544510587495786,0.2865901681640415,0.22544510587495786,0.001392763652393291,0,0.1916852250407676,-0.5499667453115267,0.09409212804023151,-2.0865901681640415,0.04598392819889637,1.5834772145724052,0.6498571509343988,0.3089588851442629,-0.4106823151176175,0.15348064093507893,-1.9256225657759796,0.07816859792215325,1.593177071290343,0.5653515637918886,0.3089588851445298,-0.41068231511934916,0.15348064093513064,-1.9256225657698127,0.07816859792188853,1.5931770712901243,0.5653515637919315
8,7.174505877001138,0.12965656434008418,0.22212008774607273,0.2296565643400842,0.0010869025827106968,0,0.23784813316123965,-0.4941121193918189,0.11679998921652449,-2.0221200877460728,0.05722536953929297,1.5868911554259961,0.6170583697188485,0.3525882068961106,-0.35813959419874725,0.17507799765789567,-1.867087892225178,0.08827121408337123,1.5957740673314165,0.5343818550584208,0.35258820689704573,-0.35813959420047464,0.17507799765826398,-1.8670878922177585,0.08827121408337435,1.595774067331493,0.5343818550585129
9,7.451806112001577,0.1357258756471499,0.17283215083312586,0.23572587564714992,0.0007036143312996348,0,0.2726407049018755,-0.45221964514575097,0.13345158592030065,-1.972832150833126,0.06610793663695474,1.5893544124020715,0.5926192407534515,0.38320800156033974,-0.32289859597651094,0.19121380921204575,-1.825713416526807,0.09575627087640293,1.5986598591167505,0.512139668413085,0.38320800156114365,-0.3228985959773445,0.19121380921238884,-1.8257134165215796,0.09575627087654726,1.5986598591169574,0.5121396684131551
10,8.758068314000411,0.14279611847239135,0.12812550730185968,0.24279611847239135,0.0038195431308408532,0,0.30526997605086115,-0.4129956886607137,0.14954989460050894,-1.9281255073018597,0.07413792557144383,1.5916136133043768,0.5695247848182098,0.3002069916396481,-0.41836426071052224,0.14755297546089685,-1.9335494368964727,0.07169316302175915,1.5914821815956948,0.5713433707009287,0.30405624808906107,-0.4207979382764598,0.1493160145800451,-1.9211800564677262,0.07275022799637401,1.5928447490767077,0.5716694319557936
11,9.926626322001539,0.16724899437126292,0.026699934814294002,0.2672489943712629,0.0035661595866275752,1,0.3826385771529614,-0.3232564121094976,0.19068214243001916,-1.826699934814294,0.09495941519909583,1.5981259279598956,0.5124639879317672,0.30676919632824323,-0.4102964486448944,0.15063453276675973,-1.925531634863232,0.07308987780843137,1.5913326138405977,0.5680266413554916,0.3485392209321272,-0.41522170250053114,0.17221188590484487,-1.8255839835991001,0.08966368479147004,1.6115961848656026,0.5714756961241908
12,10.96059639500163,0.14979941379616293,0.12079163913533852,0.24979941379616294,0.0031546735996122715,0,0.304834146446857,-0.4204656054956734,0.1500814503549668,-1.9207916391353386,0.07368679668247179,1.5935509764927887,0.5712414443786007,0.3158651344639206,-0.39856803542658503,0.15656385357459585,-1.9129728700714508,0.07804179978712283,1.5919804055398348,0.5605055335394944,0.31586513448004044,-0.3985680354365004,0.1565638535821629,-1.9129728700175002,0.07804179979138595,1.5919804055463993,0.5605055335408968
