timestep,real_time,h,goal_error,dist,cost_history,conflict,t_mppi,t_cbf,t_robot,intervention_magnitude,q_0,q_1,q_2,q_3,q_4,q_5,q_6,u_mppi_0,u_mppi_1,u_mppi_2,u_mppi_3,u_mppi_4,u_mppi_5,u_mppi_6,u_safe_0,u_safe_1,u_safe_2,u_safe_3,u_safe_4,u_safe_5,u_safe_6
0,1.1385237729996334,0.1104116647410278,0.5559999999999998,0.1604116647410278,0.00015355668795144126,0,1.1276848539996536,0.0030557499999304127,0.0006017740001880156,1.5536269582763564e-06,0.0,-0.785,0.0,-2.356,0.0,1.571,0.785,0.007420475653201776,-0.7761597183980327,0.0035205197338201676,-2.345604229842057,0.0018906430035974485,1.5713698712879411,0.7796361588049227,0.007420509177303083,-0.776158977480437,0.00352049064219937,-2.345605545217289,0.001890766937056965,1.571370213695043,0.7796361551268888
1,2.178435027999967,0.10943114722983648,0.5543431433598134,0.15943114722983648,0.004708693778130063,0,1.0341636379998818,0.0015236489998642355,0.0006159149997984059,2.4218409426106983e-09,0.002887698164144926,-0.7812489032730904,0.0013887897713553618,-2.3543431433598134,0.0006084565564764325,1.570697922203841,0.782891611640191,0.01695334787134799,-0.761583786240728,0.008482358052740337,-2.3306026642760025,0.006431124863594523,1.5711464392319185,0.7721440732183975,0.01695334789833098,-0.7615837848884032,0.008482358001888547,-2.3306026661402024,0.006431125073113083,1.5711464399488901,0.772144073212957
2,3.1415425199998026,0.10849769665225627,0.5475060478457696,0.15849769665225627,0.003233812946844573,0,0.9571973059996708,0.001506827999946836,0.0007737760001873539,2.518648636109632e-11,0.008417222279524541,-0.7731343619830516,0.00421282455699716,-2.3475060478457697,0.002764157624957927,1.5704042133344176,0.7771866342976455,0.0485110997484383,-0.728672701122326,0.02370795567800381,-2.2892288102051075,0.013040918770845669,1.5745934410401055,0.7506261412573991,0.04851109974830266,-0.7286727011070679,0.02370795567714585,-2.289228810223267,0.013040918773043983,1.5745934410482407,0.7506261412573111
3,3.989309237999805,0.10861549217818899,0.5270480637597112,0.158615492178189,0.00288437667378998,0,0.8420072070002789,0.0015120900002330018,0.000591601999985869,2.681322415517739e-12,0.024340938113595053,-0.7550699057200317,0.011756173501609268,-2.3270480637597113,0.006674135028045125,1.5716481232609945,0.7655026795785579,0.09094944589031499,-0.6742552851270748,0.045448953075532116,-2.2305078017568496,0.023158813314647368,1.577706408097347,0.7215887136599985,0.09094944589034157,-0.6742552851275807,0.04544895307556287,-2.2305078017542233,0.02315881331461783,1.5777064080971646,0.7215887136600012
4,4.748824553999839,0.10948471880251263,0.4913056438340184,0.15948471880251264,0.0024048560702712627,0,0.753949778000333,0.0015049170001475431,0.0006047789997865038,5.196080774300752e-12,0.050610987549633106,-0.7227516624765384,0.024907872828246587,-2.2913056438340185,0.013079615368040318,1.573603271503979,0.7481554271690968,0.14356241987164828,-0.6112329109833217,0.07177070214640428,-2.1570765315201084,0.035742755731989644,1.5812851848536738,0.6838211256406332,0.14356241987209295,-0.6112329109853298,0.07177070214675522,-2.157076531515419,0.0357427557319396,1.5812851848528677,0.6838211256406687
5,5.40459083099995,0.1133609033032874,0.440973561805756,0.1633609033032874,0.0020957852880739004,0,0.6519374070003323,0.0011074770000050194,0.00038481199999296223,1.4391163420923316e-06,0.08745051695892776,-0.6782086190432912,0.04328839503038605,-2.240973561805756,0.021824587951940644,1.5761432720791422,0.7227994254534416,0.19963992757824914,-0.542141041854864,0.09961951553725847,-2.078345406005862,0.04983883201260563,1.5847250280284253,0.6430164574189493,0.19963972095599686,-0.5421406019886772,0.09961937960396908,-2.0783467463383167,0.04983879563732378,1.5847251636112494,0.6430164430656651
6,5.915907130999585,0.12174783304027641,0.37936311280964463,0.1717478330402764,0.00176231981376796,0,0.5076214790001359,0.0010557190003055439,0.0004138730000704527,6.1779410465331726e-12,0.1318457883626139,-0.6238606748571114,0.06554944694700836,-2.1793631128096447,0.032740606380679015,1.5790697614189366,0.6913980156551921,0.2566736060022484,-0.4737049781336737,0.12849172792256167,-2.000401678331481,0.06418568690993062,1.5894531079218837,0.6016345651446745,0.2566736060036763,-0.4737049781351596,0.12849172792340371,-2.0004016783257392,0.06418568691034778,1.5894531079216347,0.6016345651447688
7,6.334216952999668,0.13572183680476207,0.3111425199202651,0.18572183680476206,0.0013927636523932926,0,0.4143184839999776,0.0010857319998649473,0.0004000949998044234,6.6353219669056726e-12,0.18127626618948942,-0.5635924994093228,0.09049791696140272,-2.111142519920265,0.04501077116331381,1.5827472985962543,0.6560512833089872,0.3089588851442629,-0.4106823151176175,0.15348064093507893,-1.9256225657759796,0.07816859792215325,1.5931770712903432,0.5653515637918887,0.3089588851461318,-0.4106823151186408,0.15348064093615554,-1.9256225657698303,0.07816859792284296,1.5931770712904938,0.565351563792016
8,6.641409307999766,0.15511978077973115,0.24017835335341942,0.20511978077973114,0.001086902582710698,0,0.3033223270003873,0.0011434180000833294,0.00040587200010122615,3.749508569261253e-12,0.23214657655314727,-0.5017470498152795,0.11565130646427597,-2.0401783533534195,0.05801594637994951,1.5864981966382854,0.6217385187727607,0.3525882068961106,-0.35813959419874725,0.17507799765789567,-1.867087892225178,0.08827121408337123,1.5957740673314165,0.5343818550584208,0.35258820689738807,-0.3581395941990172,0.17507799765855206,-1.8670878922217706,0.08827121408384668,1.5957740673317014,0.5343818550585009
9,6.852295861999664,0.17712656214390915,0.17368404205101062,0.22712656214390914,0.0007036143312996362,0,0.2072304409998651,0.000992988000234618,0.0003738209998118691,2.3828264696043217e-12,0.2800734193731851,-0.44345291934494563,0.13957764350702542,-1.9736840420510107,0.0699504743215452,1.5898686417884984,0.5873622195039879,0.38320800156033974,-0.32289859597651094,0.19121380921204575,-1.8257134165268072,0.09575627087640293,1.5986598591167505,0.512139668413085,0.3832080015612395,-0.3228985959765302,0.191213809212494,-1.8257134165246949,0.09575627087675076,1.5986598591170351,0.5121396684131405
